Index,X,Y,Width,Height,Rank
1,582,352,69,179,0.777445205
2,1477,222,83,27,0.211865852
3,1122,851,170,107,0.823634128
4,59,596,165,122,0.793602112
5,710,89,50,88,0.067975438
6,1789,671,23,153,0.208667677
7,366,231,22,60,0.445136483
8,826,125,169,172,0.542681956
9,1513,240,170,120,0.500230906
10,1711,673,67,13,0.264556943
11,98,227,59,92,0.674011828
12,1661,498,191,114,0.683286334
13,60,535,50,99,0.275012828
14,1226,352,12,167,0.02468819
15,781,436,114,31,0.499200295
16,63,289,110,35,0.783772248
17,630,628,177,50,0.604426937
18,1448,981,64,83,0.624820448
19,1751,361,156,59,0.475295058
20,937,163,99,17,0.871281075
21,372,298,111,164,0.843494003
22,1044,638,135,192,0.939425186
23,1391,63,147,178,0.194033337
24,901,894,101,83,0.328643632
25,581,994,139,73,0.15720682
26,180,976,132,134,0.351011263
27,974,359,105,162,0.816532943
28,776,765,190,174,0.612615811
29,1646,160,55,74,0.667341681
30,1123,77,11,177,0.991056299
31,207,909,79,124,0.746841643
32,1178,750,116,145,0.724773039
33,766,444,198,10,0.967516056
34,492,191,49,185,0.919853828
35,823,256,105,167,0.470907833
36,233,193,168,87,0.345439908
37,524,314,11,155,0.868032324
38,1736,716,42,180,0.048487092
39,484,917,168,171,0.362273461
40,1688,507,38,126,0.088965362
41,1357,648,22,80,0.914367893
42,1258,81,196,123,0.353141254
43,1557,742,103,165,0.444858013
44,1773,619,66,142,0.092221212
45,661,198,121,60,0.215132787
46,1692,843,189,101,0.056354344
47,342,207,106,177,0.564822946
48,251,340,88,17,0.509040205
49,405,240,25,13,0.196341395
50,1321,354,115,76,0.183031336
51,1617,692,58,84,0.965829034
52,486,237,191,150,0.270258279
53,488,350,72,73,0.77470156
54,1603,52,20,125,0.334466207
55,343,733,181,106,0.644861557
56,1640,90,67,62,0.288206159
57,135,104,120,39,0.993789385
58,1033,117,50,23,0.278121185
59,587,157,200,31,0.844573514
60,1221,229,87,127,0.721008569
61,257,749,17,131,0.06466548
62,666,903,136,40,0.76134722
63,586,593,103,176,0.821571327
64,365,654,33,112,0.910098756
65,1255,620,37,194,0.104722315
66,686,686,59,89,0.128109911
67,151,512,11,144,0.035559275
68,445,857,168,28,0.644828697
69,1450,224,169,30,0.963960118
70,1270,423,79,128,0.484973739
71,1708,981,186,99,0.985975067
72,739,834,147,141,0.640178443
73,472,468,20,186,0.593323158
74,1411,821,162,105,0.462974022
75,947,694,128,87,0.305936835
76,1206,121,59,149,0.564099877
77,622,694,49,28,0.020883835
78,496,303,77,179,0.925855659
79,434,461,169,84,0.832574797
80,380,494,130,176,0.682599923
81,684,472,94,47,0.827131196
82,210,218,163,117,0.260430737
83,1002,705,56,130,0.019590283
84,1501,228,196,119,0.070407993
85,271,152,76,156,0.11577114
86,929,732,137,60,0.56838381
87,1486,724,81,118,0.523489826
88,1381,980,80,142,0.513685321
89,1721,726,63,195,0.972816512
90,566,781,82,30,0.04652035
91,685,424,169,159,0.40895237
92,796,889,118,38,0.799346856
93,1090,168,189,39,0.012847601
94,729,389,29,100,0.061335772
95,674,532,89,198,0.316138388
96,1293,195,29,48,0.496678637
97,1683,635,124,197,0.77613748
98,581,610,101,178,0.110002932
99,214,283,188,97,0.493803549
100,182,710,48,37,0.607982209
101,1800,433,138,86,0.4877576
102,222,134,68,120,0.661413784
103,1092,611,30,49,0.953599853
104,1741,989,34,118,0.024680206
105,636,984,129,184,0.22662233
106,1005,444,142,72,0.350993115
107,1775,555,188,64,0.017257832
108,1524,430,137,39,0.437642787
109,1787,981,88,113,0.418358863
110,1222,314,61,115,0.673723165
111,1491,257,74,57,0.124819605
112,1238,81,115,35,0.091302305
113,1189,445,171,63,0.730011158
114,1556,809,110,113,0.483709201
115,1007,106,30,186,0.971259193
116,656,659,36,122,0.757665361
117,614,57,183,154,0.317036256
118,1630,368,92,93,0.355471086
119,123,82,47,118,0.801480677
120,1709,528,97,168,0.867597996
121,354,495,171,195,0.677204816
122,198,407,121,138,0.974220638
123,1600,281,41,43,0.08195971
124,579,906,28,36,0.18783979
125,490,742,96,41,0.413093089
126,1512,319,112,186,0.085232348
127,57,551,154,15,0.628663932
128,1457,399,106,64,0.904932198
129,318,991,178,62,0.495978042
130,1198,754,191,92,0.370690316
131,307,846,124,83,0.783549525
132,917,168,178,117,0.265024832
133,1292,171,48,154,0.201774905
134,1639,796,159,183,0.475830709
135,200,709,142,93,0.484246887
136,509,340,48,194,0.799664026
137,697,576,188,180,0.486652107
138,946,442,137,179,0.408581295
139,1292,348,198,151,0.514508421
140,1362,794,12,134,0.182816522
141,453,800,183,146,0.98521808
142,1149,524,52,198,0.647782496
143,812,594,102,57,0.173290997
144,663,581,145,42,0.116852227
145,766,496,115,25,0.656892925
146,1749,859,59,102,0.068120112
147,88,463,23,121,0.445322176
148,188,542,144,38,0.370333385
149,1769,546,125,174,0.225933772
150,1062,295,84,137,0.949171937
151,1226,761,117,148,0.210483793
152,570,142,88,196,0.10797429
153,543,493,188,86,0.635001516
154,579,189,191,12,0.209167857
155,330,175,85,113,0.912181689
156,74,623,113,77,0.048156292
157,239,717,82,144,0.207779492
158,640,390,20,43,0.129586364
159,1483,514,146,125,0.169159908
